               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.073879,             0.08098,            0.026425,             0.32825,             0.33433,             0.28626,             0.14494,            0.069074,              0.1115,            0.029104,           0.0097011,           0.0097011,           0.0097011
                  37,            0.073843,            0.081716,            0.026402,             0.35166,             0.32589,             0.28945,             0.14662,             0.06883,             0.11153,            0.028786,            0.009684,            0.009684,            0.009684
                  38,            0.073569,            0.080952,            0.026072,             0.35942,             0.32023,             0.29049,             0.14771,            0.068951,             0.11151,            0.028719,           0.0096664,           0.0096664,           0.0096664
                  39,            0.073427,            0.080972,            0.025975,             0.36966,             0.31662,             0.29484,             0.14889,            0.068796,             0.11092,            0.028537,           0.0096484,           0.0096484,           0.0096484
                  40,            0.073346,            0.081902,            0.026029,             0.34201,             0.33657,             0.29148,             0.14867,            0.068585,             0.11099,            0.028909,           0.0096299,           0.0096299,           0.0096299
                  41,            0.073359,            0.080805,            0.025663,             0.39323,              0.3157,             0.29965,             0.15248,            0.068416,             0.11085,            0.028433,            0.009611,            0.009611,            0.009611
                  42,            0.072596,            0.080292,            0.025727,             0.37338,             0.31885,             0.29531,             0.15156,            0.068334,             0.11094,            0.028609,           0.0095916,           0.0095916,           0.0095916
                  43,            0.072716,             0.08013,            0.025582,              0.4123,             0.30284,             0.30069,             0.15319,            0.068312,              0.1103,            0.028471,           0.0095717,           0.0095717,           0.0095717
                  44,            0.072548,            0.079729,            0.025439,             0.36691,             0.33052,             0.30474,             0.15631,            0.068103,             0.11036,             0.02822,           0.0095514,           0.0095514,           0.0095514
                  45,            0.072543,            0.080376,             0.02535,             0.37047,             0.32975,              0.3029,             0.15467,            0.068151,             0.11021,            0.028319,           0.0095307,           0.0095307,           0.0095307
                  46,            0.072695,            0.080362,            0.025383,             0.38444,             0.32688,             0.30547,             0.15741,            0.067882,             0.11005,            0.028059,           0.0095095,           0.0095095,           0.0095095
                  47,            0.072629,            0.080312,            0.025065,             0.37682,              0.3299,             0.30391,              0.1569,            0.067856,             0.11021,            0.028083,           0.0094879,           0.0094879,           0.0094879
                  48,            0.072556,            0.080243,            0.025335,             0.36416,             0.34466,             0.30556,              0.1572,            0.067859,             0.11004,            0.028176,           0.0094659,           0.0094659,           0.0094659
                  49,            0.072189,            0.079436,            0.024722,             0.37486,             0.33645,             0.30858,             0.16102,            0.067699,             0.10974,            0.027897,           0.0094434,           0.0094434,           0.0094434
                  50,            0.072283,            0.080017,            0.025145,             0.42409,             0.31336,             0.31107,             0.16062,            0.067637,             0.10969,            0.027909,           0.0094205,           0.0094205,           0.0094205
                  51,            0.071788,             0.07967,            0.024586,             0.38367,              0.3413,             0.31366,              0.1625,            0.067569,             0.10948,            0.027791,           0.0093971,           0.0093971,           0.0093971
                  52,            0.072338,             0.07926,            0.024699,             0.41531,             0.32069,             0.31249,             0.16275,             0.06754,             0.10945,            0.027886,           0.0093733,           0.0093733,           0.0093733
                  53,            0.071751,            0.078661,            0.024715,             0.40625,             0.32599,             0.31287,             0.16498,            0.067381,             0.10942,            0.027906,           0.0093491,           0.0093491,           0.0093491
                  54,            0.071653,            0.079847,            0.024514,             0.39905,             0.33665,             0.31572,             0.16475,            0.067291,              0.1093,            0.027811,           0.0093245,           0.0093245,           0.0093245
                  55,            0.071691,            0.079396,            0.024281,             0.39338,             0.34074,             0.31882,             0.16708,            0.067205,               0.109,            0.027678,           0.0092995,           0.0092995,           0.0092995
                  56,            0.071644,            0.080164,            0.024156,               0.376,             0.35327,             0.31948,             0.16803,            0.067275,             0.10905,            0.027778,            0.009274,            0.009274,            0.009274
                  57,            0.071727,            0.079651,             0.02416,             0.40561,             0.33588,             0.32211,              0.1696,            0.067118,             0.10903,            0.027564,           0.0092481,           0.0092481,           0.0092481
