               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.073624,            0.080682,             0.02774,             0.32541,             0.31129,             0.27051,             0.13361,            0.068032,              0.1104,            0.030365,           0.0097011,           0.0097011,           0.0097011
                  37,            0.073089,            0.080419,            0.027399,             0.35125,             0.30118,             0.27781,             0.13646,            0.067845,             0.10973,            0.029901,            0.009684,            0.009684,            0.009684
                  38,            0.072631,            0.079951,              0.0272,             0.32689,             0.31661,             0.27564,             0.13848,            0.067321,              0.1095,            0.029999,           0.0096664,           0.0096664,           0.0096664
                  39,            0.073035,            0.081424,            0.027141,               0.346,             0.31078,             0.27944,             0.13907,            0.067904,             0.11001,            0.030102,           0.0096484,           0.0096484,           0.0096484
                  40,            0.072798,            0.080081,            0.027019,             0.34097,             0.31242,             0.28168,             0.14027,            0.067589,             0.10876,            0.029708,           0.0096299,           0.0096299,           0.0096299
                  41,            0.072339,            0.080295,            0.026518,             0.35757,             0.31421,             0.28797,             0.14482,            0.067018,             0.10894,            0.029629,            0.009611,            0.009611,            0.009611
                  42,            0.072433,            0.080742,            0.026593,             0.35554,             0.31858,             0.29319,             0.14824,            0.066842,             0.10896,            0.029578,           0.0095916,           0.0095916,           0.0095916
                  43,            0.071829,            0.079846,            0.026213,             0.39742,             0.29892,             0.29619,             0.15068,            0.066937,             0.10918,            0.029501,           0.0095717,           0.0095717,           0.0095717
                  44,            0.072059,            0.079906,            0.026209,             0.34331,             0.34745,             0.30163,             0.15247,            0.066591,             0.10826,             0.02916,           0.0095514,           0.0095514,           0.0095514
                  45,            0.071478,            0.078857,            0.025989,             0.35399,             0.34685,             0.30649,              0.1563,            0.066436,             0.10766,            0.028932,           0.0095307,           0.0095307,           0.0095307
                  46,            0.071306,            0.079384,            0.025911,             0.36982,             0.34061,               0.304,             0.15346,            0.066322,             0.10793,            0.029016,           0.0095095,           0.0095095,           0.0095095
                  47,            0.070971,            0.078452,            0.025604,             0.38389,             0.33655,             0.30997,             0.15639,             0.06624,             0.10772,            0.028644,           0.0094879,           0.0094879,           0.0094879
                  48,            0.071487,            0.079337,            0.025566,             0.37665,             0.34096,             0.30985,             0.15599,            0.066215,             0.10795,            0.029129,           0.0094659,           0.0094659,           0.0094659
                  49,            0.070726,            0.078152,            0.025534,             0.38084,             0.34172,             0.31597,             0.16138,            0.066024,             0.10731,            0.028578,           0.0094434,           0.0094434,           0.0094434
                  50,            0.070897,            0.078661,            0.025452,             0.39355,             0.33562,             0.31565,              0.1613,            0.066397,             0.10796,            0.028569,           0.0094205,           0.0094205,           0.0094205
                  51,            0.070616,            0.078284,            0.025218,             0.38313,             0.35072,             0.31692,             0.16228,            0.065775,             0.10766,             0.02869,           0.0093971,           0.0093971,           0.0093971
                  52,            0.070457,             0.07866,             0.02531,             0.37909,             0.34583,             0.31507,              0.1601,            0.066301,             0.10799,            0.028758,           0.0093733,           0.0093733,           0.0093733
                  53,            0.070651,            0.078415,            0.025013,              0.4035,             0.34051,             0.31998,             0.16332,            0.065801,             0.10689,            0.028858,           0.0093491,           0.0093491,           0.0093491
                  54,            0.070838,            0.079027,            0.025017,              0.3874,             0.35192,              0.3215,              0.1654,              0.0654,             0.10714,            0.028499,           0.0093245,           0.0093245,           0.0093245
                  55,            0.070291,            0.078518,            0.024834,             0.39942,              0.3445,             0.32583,             0.16857,            0.065552,             0.10728,            0.028391,           0.0092995,           0.0092995,           0.0092995
                  56,            0.070239,            0.078149,            0.024865,             0.42258,             0.33946,             0.32664,             0.16784,            0.065387,             0.10703,            0.028296,            0.009274,            0.009274,            0.009274
                  57,            0.070317,            0.078929,            0.024778,             0.39589,             0.35703,             0.32985,             0.16971,            0.065225,              0.1064,            0.028311,           0.0092481,           0.0092481,           0.0092481
                  58,            0.070145,            0.078529,            0.024556,             0.40978,             0.35701,               0.333,             0.17167,            0.065299,             0.10656,            0.028028,           0.0092219,           0.0092219,           0.0092219
                  59,            0.070162,            0.079168,             0.02446,             0.39933,             0.36138,             0.33564,             0.17118,            0.065184,             0.10655,            0.028186,           0.0091952,           0.0091952,           0.0091952
                  60,            0.069921,            0.078325,            0.024214,              0.4282,             0.34747,             0.33876,             0.17273,            0.065563,              0.1068,            0.027878,           0.0091681,           0.0091681,           0.0091681
                  61,            0.069827,            0.077799,            0.024512,             0.42441,             0.33997,             0.33434,             0.17352,            0.065404,             0.10689,            0.028106,           0.0091406,           0.0091406,           0.0091406
                  62,            0.069326,            0.077366,            0.024153,              0.4439,             0.34367,             0.34147,             0.17758,            0.064764,             0.10605,            0.027909,           0.0091127,           0.0091127,           0.0091127
                  63,            0.069501,             0.07719,            0.024137,             0.42995,             0.34602,             0.34273,             0.17836,            0.064834,             0.10607,            0.027777,           0.0090844,           0.0090844,           0.0090844
                  64,            0.069394,            0.078445,            0.023989,              0.4381,             0.34597,             0.34536,             0.17958,            0.064654,             0.10598,            0.027814,           0.0090557,           0.0090557,           0.0090557
                  65,            0.069328,            0.077651,            0.023833,             0.43692,             0.35372,             0.34735,             0.18136,            0.064739,             0.10599,            0.027585,           0.0090266,           0.0090266,           0.0090266
                  66,            0.069053,            0.076524,            0.023826,             0.44347,             0.34083,             0.34326,             0.17914,            0.064687,             0.10597,            0.027783,           0.0089972,           0.0089972,           0.0089972
                  67,            0.069504,            0.076828,            0.023685,             0.44174,             0.35183,             0.35066,             0.18224,            0.064582,             0.10587,            0.027543,           0.0089673,           0.0089673,           0.0089673
