               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.073892,            0.082071,            0.027909,             0.34573,             0.29362,             0.25754,             0.12505,            0.068245,             0.11233,            0.030358,           0.0097011,           0.0097011,           0.0097011
                  37,            0.073479,             0.08086,            0.027671,             0.35121,             0.30954,             0.26801,             0.12879,            0.068228,             0.11053,            0.030235,            0.009684,            0.009684,            0.009684
                  38,            0.073025,              0.0815,            0.027388,             0.34202,             0.31346,             0.27154,              0.1344,            0.067681,             0.11063,            0.030148,           0.0096664,           0.0096664,           0.0096664
                  39,            0.073201,            0.080804,            0.027267,             0.37181,             0.29872,             0.27769,             0.13501,            0.067845,             0.10902,            0.029984,           0.0096484,           0.0096484,           0.0096484
                  40,            0.072502,            0.080577,            0.026942,             0.36209,             0.31458,              0.2824,             0.13668,            0.067518,             0.10977,             0.02988,           0.0096299,           0.0096299,           0.0096299
                  41,             0.07293,            0.080978,            0.026964,               0.347,             0.31945,             0.28333,              0.1395,            0.067195,             0.10926,            0.029922,            0.009611,            0.009611,            0.009611
                  42,            0.072232,            0.079606,             0.02689,             0.36376,             0.31202,              0.2847,             0.14142,            0.067084,             0.10845,            0.029643,           0.0095916,           0.0095916,           0.0095916
                  43,              0.0723,            0.079972,            0.026457,             0.32857,             0.34184,             0.28876,             0.14389,            0.066978,             0.10963,            0.029461,           0.0095717,           0.0095717,           0.0095717
                  44,            0.071847,            0.081028,            0.026508,             0.37253,             0.31982,             0.29359,              0.1446,            0.067323,             0.10946,            0.029533,           0.0095514,           0.0095514,           0.0095514
                  45,            0.071902,            0.080297,            0.026099,             0.37224,             0.34049,             0.30462,             0.15153,            0.066577,             0.10866,            0.029146,           0.0095307,           0.0095307,           0.0095307
                  46,            0.071375,             0.07941,            0.026247,             0.36428,             0.34084,             0.29734,             0.14916,            0.066771,             0.10822,            0.029405,           0.0095095,           0.0095095,           0.0095095
                  47,            0.071387,            0.079006,            0.025874,             0.38467,             0.33423,             0.30999,             0.15705,            0.066394,             0.10817,            0.028875,           0.0094879,           0.0094879,           0.0094879
                  48,            0.071769,            0.079824,            0.025707,             0.41181,             0.31762,              0.3096,             0.15472,            0.066242,             0.10769,            0.028859,           0.0094659,           0.0094659,           0.0094659
                  49,            0.071087,            0.077991,            0.025721,              0.3707,             0.33774,             0.30617,             0.15375,            0.066241,             0.10812,            0.029283,           0.0094434,           0.0094434,           0.0094434
                  50,            0.071096,            0.078619,            0.025569,             0.39326,             0.33042,             0.30998,             0.15627,            0.066026,             0.10804,            0.028917,           0.0094205,           0.0094205,           0.0094205
                  51,            0.070896,            0.078259,            0.025484,             0.38097,             0.35013,             0.31623,             0.16176,            0.065833,             0.10718,            0.028755,           0.0093971,           0.0093971,           0.0093971
                  52,            0.070669,            0.078812,            0.025177,             0.41933,              0.3303,             0.32058,             0.16352,            0.065646,             0.10795,            0.028553,           0.0093733,           0.0093733,           0.0093733
                  53,              0.0707,            0.077554,            0.025127,              0.4196,             0.33228,             0.32353,             0.16513,            0.065766,              0.1072,             0.02838,           0.0093491,           0.0093491,           0.0093491
                  54,            0.070777,            0.078207,            0.025048,             0.40063,             0.35316,             0.32442,             0.16703,            0.065409,             0.10675,            0.028487,           0.0093245,           0.0093245,           0.0093245
                  55,            0.070181,            0.078069,            0.024697,             0.39256,             0.35305,             0.32406,             0.16498,            0.065848,             0.10711,            0.028344,           0.0092995,           0.0092995,           0.0092995
                  56,            0.070145,            0.076888,            0.024683,             0.42005,              0.3435,             0.33176,              0.1701,             0.06542,             0.10682,            0.028234,            0.009274,            0.009274,            0.009274
                  57,            0.069921,            0.077914,            0.024688,             0.39987,             0.35338,             0.33068,             0.17035,            0.065388,             0.10676,             0.02816,           0.0092481,           0.0092481,           0.0092481
                  58,            0.070308,            0.077542,            0.024574,             0.40124,             0.36414,             0.33211,             0.17164,            0.065264,             0.10626,            0.028106,           0.0092219,           0.0092219,           0.0092219
                  59,            0.070309,            0.077177,            0.024499,              0.4498,             0.33024,             0.33301,              0.1722,            0.065514,             0.10681,            0.028342,           0.0091952,           0.0091952,           0.0091952
                  60,             0.07038,            0.078341,            0.024522,             0.41664,             0.34273,             0.33052,             0.17001,            0.065363,              0.1071,            0.028213,           0.0091681,           0.0091681,           0.0091681
                  61,            0.069952,            0.078012,            0.024375,             0.41686,             0.34816,             0.33407,             0.16997,            0.065315,             0.10653,            0.028225,           0.0091406,           0.0091406,           0.0091406
                  62,            0.069824,            0.077645,            0.023874,             0.44474,             0.33838,             0.33523,             0.17186,            0.065036,             0.10633,            0.028194,           0.0091127,           0.0091127,           0.0091127
                  63,            0.069755,            0.077511,            0.023971,             0.39432,             0.36425,             0.33426,             0.17481,              0.0649,             0.10605,            0.028346,           0.0090844,           0.0090844,           0.0090844
                  64,            0.069686,            0.076689,            0.023748,             0.42669,             0.35307,             0.34051,             0.17788,            0.064824,             0.10605,            0.028233,           0.0090557,           0.0090557,           0.0090557
                  65,            0.069352,            0.076998,            0.023761,             0.46484,             0.33636,             0.34464,             0.18031,            0.064656,             0.10604,            0.027694,           0.0090266,           0.0090266,           0.0090266
                  66,            0.069608,            0.076812,            0.023701,             0.43266,             0.34771,             0.34037,             0.17773,            0.064589,             0.10604,            0.027678,           0.0089972,           0.0089972,           0.0089972
                  67,            0.069457,            0.076733,            0.023783,             0.42297,             0.36402,             0.34528,             0.18078,            0.064604,             0.10606,            0.027629,           0.0089673,           0.0089673,           0.0089673
                  68,            0.069386,            0.077149,            0.023544,              0.4244,               0.369,             0.34975,             0.18306,            0.064469,             0.10583,            0.027493,           0.0089371,           0.0089371,           0.0089371
                  69,            0.068987,            0.075781,            0.023539,             0.42927,             0.36752,             0.35267,             0.18386,             0.06448,             0.10577,             0.02742,           0.0089065,           0.0089065,           0.0089065
                  70,            0.068954,            0.076636,            0.023339,             0.42749,             0.36812,             0.35315,             0.18512,            0.064441,             0.10565,            0.027599,           0.0088755,           0.0088755,           0.0088755
                  71,            0.069062,            0.077203,            0.023383,             0.44195,             0.35761,             0.34958,             0.18265,            0.064348,             0.10574,            0.027547,           0.0088442,           0.0088442,           0.0088442
                  72,            0.068566,            0.076581,            0.023143,             0.43654,             0.36021,              0.3521,             0.18426,            0.064378,             0.10555,            0.027578,           0.0088124,           0.0088124,           0.0088124
                  73,            0.068646,            0.076023,            0.023136,              0.4471,             0.35668,             0.35285,             0.18627,            0.064133,             0.10551,            0.027594,           0.0087804,           0.0087804,           0.0087804
                  74,            0.068756,            0.076999,            0.023097,             0.42991,             0.36185,             0.34805,             0.18253,            0.064299,              0.1055,            0.027555,           0.0087479,           0.0087479,           0.0087479
                  75,            0.068643,            0.076045,            0.022923,              0.4445,             0.36322,             0.35648,             0.18788,            0.064144,             0.10516,            0.027443,           0.0087151,           0.0087151,           0.0087151
                  76,            0.068751,            0.075078,             0.02296,             0.42303,             0.37412,             0.35864,             0.18935,            0.064131,             0.10569,            0.027295,            0.008682,            0.008682,            0.008682
                  77,            0.068276,            0.075691,             0.02292,             0.47429,             0.34646,             0.35835,             0.18876,            0.064036,             0.10525,            0.027358,           0.0086485,           0.0086485,           0.0086485
                  78,            0.068174,            0.075429,            0.022722,             0.43784,             0.36631,              0.3567,             0.18885,            0.064147,             0.10532,            0.027507,           0.0086146,           0.0086146,           0.0086146
                  79,            0.068134,             0.07623,            0.022627,              0.4331,             0.36597,             0.35863,             0.18946,            0.064034,              0.1054,            0.027258,           0.0085805,           0.0085805,           0.0085805
                  80,             0.06816,            0.074686,            0.022602,             0.44617,             0.35623,             0.35263,             0.18691,            0.063986,             0.10557,            0.027713,           0.0085459,           0.0085459,           0.0085459
                  81,            0.068352,            0.074696,            0.022598,             0.46183,             0.35842,             0.35963,             0.19221,            0.063827,              0.1051,            0.027406,           0.0085111,           0.0085111,           0.0085111
                  82,            0.068233,            0.074938,            0.022545,              0.4637,             0.35857,             0.36259,             0.19174,            0.063931,             0.10528,            0.027173,           0.0084759,           0.0084759,           0.0084759
                  83,            0.068078,            0.076688,            0.022375,             0.46339,             0.35694,             0.36441,              0.1944,            0.063621,             0.10502,            0.027261,           0.0084404,           0.0084404,           0.0084404
                  84,            0.067893,            0.075446,            0.022577,             0.44519,             0.36658,              0.3614,             0.19251,            0.063674,             0.10513,            0.027061,           0.0084046,           0.0084046,           0.0084046
