               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.071121,            0.079217,            0.026125,             0.38542,             0.33759,             0.30861,             0.15703,            0.066283,             0.10865,            0.028532,           0.0097011,           0.0097011,           0.0097011
                  37,            0.071093,            0.079729,            0.026119,             0.36314,              0.3592,             0.31678,             0.16081,            0.066052,             0.10882,             0.02834,            0.009684,            0.009684,            0.009684
                  38,            0.070824,              0.0792,            0.025805,             0.36552,             0.34607,             0.31237,             0.15856,             0.06608,             0.10807,            0.028379,           0.0096664,           0.0096664,           0.0096664
                  39,            0.070573,            0.079044,            0.025598,             0.40027,             0.33576,             0.31669,             0.16226,             0.06597,             0.10763,            0.028458,           0.0096484,           0.0096484,           0.0096484
                  40,            0.070641,            0.079994,            0.025718,             0.41999,             0.33413,             0.32089,             0.16348,            0.065873,             0.10806,            0.027944,           0.0096299,           0.0096299,           0.0096299
                  41,            0.070476,            0.078775,            0.025256,             0.39043,             0.35282,             0.32303,             0.16384,            0.065673,             0.10786,             0.02789,            0.009611,            0.009611,            0.009611
                  42,            0.069716,            0.078218,            0.025353,             0.42758,             0.33417,             0.32611,               0.167,             0.06547,             0.10833,            0.027857,           0.0095916,           0.0095916,           0.0095916
                  43,            0.069882,            0.078177,            0.025193,             0.44623,             0.32764,              0.3313,              0.1709,            0.065406,             0.10696,            0.027769,           0.0095717,           0.0095717,           0.0095717
                  44,            0.069585,            0.077631,               0.025,             0.38998,             0.36343,             0.33366,             0.17096,            0.065311,             0.10728,            0.027473,           0.0095514,           0.0095514,           0.0095514
                  45,            0.069662,            0.078341,            0.024944,             0.37999,             0.36829,             0.33402,              0.1727,            0.065262,             0.10727,            0.027612,           0.0095307,           0.0095307,           0.0095307
                  46,             0.06977,             0.07833,            0.025023,             0.41836,             0.35228,             0.33428,             0.17295,            0.065144,             0.10719,            0.027666,           0.0095095,           0.0095095,           0.0095095
                  47,            0.069716,            0.078263,            0.024691,             0.40236,             0.36179,             0.33725,             0.17563,            0.065005,             0.10707,            0.027512,           0.0094879,           0.0094879,           0.0094879
                  48,            0.069713,            0.078253,            0.024915,              0.4482,             0.34742,             0.34426,             0.17805,            0.064833,             0.10683,            0.027365,           0.0094659,           0.0094659,           0.0094659
                  49,             0.06925,            0.077297,             0.02426,             0.42637,             0.35374,             0.34412,                0.18,            0.064693,             0.10644,            0.027307,           0.0094434,           0.0094434,           0.0094434
                  50,            0.069232,            0.077807,            0.024583,             0.43376,             0.35446,             0.34393,             0.17925,            0.064685,             0.10637,            0.027278,           0.0094205,           0.0094205,           0.0094205
                  51,            0.068841,            0.077617,            0.024197,             0.41463,             0.36015,             0.34289,             0.17976,            0.064614,              0.1064,            0.027103,           0.0093971,           0.0093971,           0.0093971
                  52,            0.069381,            0.076985,            0.024221,             0.43875,             0.35104,              0.3484,             0.18393,            0.064634,             0.10643,             0.02731,           0.0093733,           0.0093733,           0.0093733
                  53,            0.068808,             0.07659,            0.024293,             0.41246,             0.37035,             0.34869,              0.1834,            0.064506,             0.10599,            0.027107,           0.0093491,           0.0093491,           0.0093491
                  54,            0.068674,            0.077742,            0.024036,             0.45697,             0.34777,             0.35304,             0.18619,            0.064446,             0.10675,            0.027087,           0.0093245,           0.0093245,           0.0093245
                  55,            0.068661,            0.077204,            0.023772,             0.43935,             0.36033,             0.35457,             0.18743,            0.064374,             0.10608,            0.026966,           0.0092995,           0.0092995,           0.0092995
                  56,             0.06858,            0.077901,            0.023682,             0.45666,             0.35448,             0.35575,             0.18722,            0.064261,             0.10575,            0.026918,            0.009274,            0.009274,            0.009274
                  57,            0.068692,            0.077597,            0.023706,             0.45728,             0.35021,             0.35371,             0.18543,            0.064311,             0.10594,            0.027128,           0.0092481,           0.0092481,           0.0092481
                  58,            0.068744,            0.077745,            0.023692,             0.44611,             0.36214,             0.35756,             0.18885,            0.064133,             0.10585,            0.026831,           0.0092219,           0.0092219,           0.0092219
                  59,            0.068697,            0.077291,            0.023485,             0.44079,             0.36376,             0.36051,             0.19132,            0.064125,             0.10575,            0.026829,           0.0091952,           0.0091952,           0.0091952
                  60,            0.068495,            0.076583,            0.023498,             0.44896,             0.36496,             0.36288,             0.19235,             0.06409,             0.10572,            0.026819,           0.0091681,           0.0091681,           0.0091681
                  61,            0.068338,            0.076631,            0.023422,             0.42369,             0.38251,             0.36225,             0.19244,            0.063891,             0.10515,            0.026703,           0.0091406,           0.0091406,           0.0091406
                  62,            0.068151,            0.077287,             0.02345,             0.44775,             0.37141,             0.36579,             0.19344,            0.063998,             0.10558,            0.026672,           0.0091127,           0.0091127,           0.0091127
                  63,            0.068119,             0.07648,            0.023206,             0.43024,             0.38327,             0.36716,             0.19456,             0.06374,             0.10504,            0.026703,           0.0090844,           0.0090844,           0.0090844
                  64,            0.068007,            0.075972,            0.023331,             0.45848,             0.37368,             0.36843,             0.19612,            0.063749,             0.10519,            0.026544,           0.0090557,           0.0090557,           0.0090557
