               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.073038,            0.080078,            0.027039,             0.34529,             0.33453,              0.2903,             0.14425,            0.068147,             0.10896,            0.028943,           0.0097011,           0.0097011,           0.0097011
                  37,            0.072743,            0.080461,            0.026882,             0.36603,             0.32432,             0.29756,             0.14705,            0.068044,             0.10949,            0.028971,            0.009684,            0.009684,            0.009684
                  38,            0.072406,            0.080637,            0.026566,              0.3465,             0.34138,             0.29299,             0.14609,             0.06791,             0.10877,            0.028716,           0.0096664,           0.0096664,           0.0096664
                  39,            0.072338,            0.079082,              0.0264,             0.35714,              0.3217,             0.29531,             0.14634,            0.067994,             0.10891,            0.029446,           0.0096484,           0.0096484,           0.0096484
                  40,             0.07195,            0.078866,            0.026015,             0.37175,              0.3204,             0.30085,             0.15039,            0.067835,             0.10886,            0.028778,           0.0096299,           0.0096299,           0.0096299
                  41,            0.071864,            0.079826,            0.025909,             0.37855,             0.32803,             0.30367,             0.15184,             0.06757,             0.10831,            0.028764,            0.009611,            0.009611,            0.009611
                  42,            0.071803,            0.079778,            0.025724,              0.3811,             0.32712,             0.30312,             0.15009,            0.067733,             0.10839,            0.028925,           0.0095916,           0.0095916,           0.0095916
                  43,            0.071628,            0.078576,            0.025776,             0.37377,             0.33867,             0.30537,             0.15272,            0.067779,             0.10805,            0.028886,           0.0095717,           0.0095717,           0.0095717
                  44,            0.072152,             0.07947,            0.026218,             0.35135,             0.31342,             0.27866,             0.13833,            0.069098,             0.11145,            0.029475,           0.0095514,           0.0095514,           0.0095514
                  45,            0.071565,            0.080318,            0.025398,             0.39039,              0.3289,             0.31106,             0.15648,            0.067274,             0.10824,            0.028303,           0.0095307,           0.0095307,           0.0095307
                  46,            0.071359,            0.079099,            0.025261,             0.42273,             0.32552,             0.31724,             0.15871,            0.067038,             0.10787,            0.028244,           0.0095095,           0.0095095,           0.0095095
                  47,            0.071247,            0.079268,            0.025312,             0.39147,             0.34245,             0.32087,             0.16239,            0.066893,             0.10722,            0.027997,           0.0094879,           0.0094879,           0.0094879
